Label (Grouping),"Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Arkansas County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Ashley County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Baxter County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Benton County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Boone County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Bradley County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Calhoun County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Carroll County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Chicot County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Clark County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Clay County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Cleburne County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Cleveland County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Columbia County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Conway County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Craighead County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Crawford County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Crittenden County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Cross County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Dallas County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Desha County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Drew County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Faulkner County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Franklin County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Fulton County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Garland County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Grant County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Greene County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Hempstead County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Hot Spring County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Howard County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Independence County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Izard County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Jackson County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Jefferson County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Johnson County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Lafayette County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Lawrence County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Lee County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Lincoln County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Little River County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Logan County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Lonoke County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Madison County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Marion County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Miller County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Mississippi County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Monroe County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Montgomery County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Nevada County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Newton County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Ouachita County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Perry County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Phillips County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Pike County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Poinsett County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Polk County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Pope County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Prairie County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Pulaski County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Randolph County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","St. Francis County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Saline County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Scott County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Searcy County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Sebastian County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Sevier County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Sharp County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Stone County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Union County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Van Buren County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Washington County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","White County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Woodruff County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Yell County, Arkansas!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error"
Population 5 years and over,"±2,965",±75,±88,±82,±997,±167,±123,±14,±306,±76,±87,±58,±45,±17,±136,±82,±419,±397,±125,±225,±21,±134,±43,±373,±11,±84,±622,±44,±122,±179,±356,±119,±291,±17,±30,±210,±309,±54,±30,±80,±78,±45,±107,±255,±82,±45,±150,±269,±48,±56,±17,±13,±27,±23,±12,±58,±115,±110,±373,±2,"±1,119",±98,±317,±389,±184,±17,±774,±281,±42,±9,±184,±68,"±1,229",±293,±17,±236
    Speak only English,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
    Speak a language other than English,"±2,965",±75,±88,±82,±997,±167,±123,±14,±306,±76,±87,±58,±45,±17,±136,±82,±419,±397,±125,±225,±21,±134,±43,±373,±11,±84,±622,±44,±122,±179,±356,±119,±291,±17,±30,±210,±309,±54,±30,±80,±78,±45,±107,±255,±82,±45,±150,±269,±48,±56,±17,±13,±27,±23,±12,±58,±115,±110,±373,±2,"±1,119",±98,±317,±389,±184,±17,±774,±281,±42,±9,±184,±68,"±1,229",±293,±17,±236
    SPEAK A LANGUAGE OTHER THAN ENGLISH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Spanish,"±2,459",±69,±87,±42,±866,±81,±122,±14,±255,±70,±87,±58,±40,±16,±128,±80,±280,±291,±80,±19,±21,±124,±43,±281,±11,±23,±407,±44,±98,±177,±355,±87,±291,±13,±30,±164,±288,±54,±26,±80,±73,±45,±53,±225,±77,±22,±131,±188,±47,±54,±17,±17,±20,±24,±12,±52,±115,±96,±309,±2,±965,±76,±316,±369,±171,±17,±706,±273,±31,±2,±163,±71,"±1,053",±249,±17,±229
            5 to 17 years old,"±1,000",±12,±23,±26,±337,±26,±3,±17,±115,±16,±58,±19,±23,±16,±14,±23,±121,±69,±24,±19,±17,±69,±19,±91,±19,±19,±188,±10,±21,±66,±285,±26,±107,±19,±19,±54,±17,±30,±19,±17,±3,±19,±23,±68,±19,±19,±26,±78,±17,±23,±17,±17,±23,±19,±19,±19,±2,±24,±128,±17,±445,±21,±65,±93,±19,±17,±320,±151,±19,±19,±40,±19,±443,±45,±17,±60
            18 to 64 years old,"±1,939",±64,±88,±42,±678,±81,±121,±14,±224,±73,±68,±58,±40,±17,±126,±80,±263,±270,±65,±19,±21,±65,±43,±230,±11,±15,±260,±44,±83,±115,±98,±88,±206,±13,±30,±126,±278,±35,±26,±80,±68,±45,±52,±192,±52,±22,±87,±124,±47,±51,±17,±17,±18,±24,±5,±50,±121,±87,±249,±2,±680,±31,±271,±307,±84,±17,±532,±266,±31,±19,±137,±71,±860,±235,±17,±222
            65 years old and over,±451,±17,±28,±3,±166,±26,±19,±17,±43,±28,±23,±19,±23,±17,±23,±23,±33,±29,±16,±19,±17,±19,±19,±29,±19,±17,±86,±19,±47,±80,±14,±40,±33,±19,±19,±104,±75,±17,±19,±17,±23,±19,±3,±34,±34,±19,±63,±37,±17,±17,±17,±17,±10,±19,±12,±13,±19,±19,±126,±17,±135,±45,±20,±106,±177,±17,±117,±76,±19,±2,±26,±19,±148,±84,±17,±70
        Other Indo-European languages,±750,±11,±23,±22,±304,±98,±14,±17,±23,±16,±20,±19,±7,±6,±23,±7,±318,±117,±68,±19,±17,±19,±19,±77,±19,±87,±354,±19,±31,±19,±26,±60,±11,±5,±19,±56,±56,±11,±14,±17,±14,±19,±42,±55,±33,±5,±26,±19,±7,±17,±17,±17,±18,±19,±19,±19,±23,±44,±152,±17,±290,±21,±19,±55,±19,±17,±69,±19,±26,±8,±47,±17,±307,±81,±17,±12
            5 to 17 years old,±172,±19,±23,±26,±17,±79,±19,±17,±23,±19,±23,±19,±23,±17,±23,±23,±29,±82,±7,±19,±17,±19,±19,±26,±19,±27,±10,±19,±26,±23,±26,±60,±26,±19,±19,±29,±51,±17,±19,±17,±19,±19,±23,±30,±19,±19,±26,±26,±17,±17,±17,±17,±23,±19,±19,±19,±23,±38,±22,±17,±19,±19,±23,±29,±19,±17,±29,±19,±25,±19,±26,±19,±25,±73,±17,±23
            18 to 64 years old,±584,±11,±23,±4,±253,±28,±14,±17,±23,±19,±20,±19,±23,±6,±23,±7,±318,±67,±68,±19,±17,±19,±19,±62,±19,±61,±136,±19,±31,±23,±26,±19,±6,±19,±19,±50,±18,±11,±14,±17,±14,±19,±42,±48,±9,±19,±26,±19,±17,±17,±17,±17,±23,±19,±19,±19,±23,±14,±95,±17,±256,±17,±23,±44,±19,±17,±44,±19,±19,±19,±47,±19,±300,±28,±17,±23
            65 years old and over,±326,±19,±23,±22,±104,±52,±19,±17,±23,±16,±23,±19,±7,±17,±23,±23,±29,±33,±26,±19,±17,±19,±19,±39,±19,±19,±257,±19,±26,±19,±26,±19,±9,±5,±19,±25,±13,±17,±19,±17,±19,±19,±23,±29,±31,±5,±26,±26,±7,±17,±17,±17,±18,±19,±19,±19,±23,±15,±99,±17,±117,±14,±19,±39,±19,±17,±53,±19,±7,±8,±26,±17,±27,±5,±17,±12
        Asian and Pacific Island languages,"±1,271",±19,±13,±68,±611,±103,±19,±17,±168,±15,±22,±19,±22,±17,±56,±13,±154,±151,±51,±7,±17,±19,±19,±153,±2,±3,±311,±19,±44,±12,±28,±42,±56,±7,±19,±133,±199,±7,±3,±17,±19,±3,±71,±117,±27,±37,±58,±166,±12,±18,±17,±13,±3,±14,±19,±7,±23,±31,±128,±17,±465,±46,±18,±85,±81,±17,±346,±50,±19,±19,±59,±16,±762,±138,±17,±44
            5 to 17 years old,±573,±19,±23,±26,±206,±34,±19,±17,±150,±19,±23,±19,±23,±17,±23,±23,±29,±91,±26,±19,±17,±19,±19,±33,±19,±19,±41,±19,±26,±23,±26,±19,±26,±19,±19,±29,±70,±17,±19,±17,±19,±19,±19,±29,±23,±18,±26,±77,±17,±17,±17,±17,±23,±19,±19,±19,±23,±24,±29,±17,±24,±12,±23,±14,±19,±17,±104,±19,±19,±19,±19,±12,±438,±40,±17,±23
            18 to 64 years old,±941,±19,±13,±68,±498,±58,±19,±17,±95,±15,±23,±19,±22,±17,±44,±13,±144,±87,±48,±7,±17,±19,±19,±89,±2,±19,±286,±19,±44,±12,±28,±42,±53,±19,±19,±87,±201,±7,±19,±17,±19,±3,±52,±117,±23,±35,±58,±89,±17,±18,±17,±17,±3,±14,±19,±7,±23,±11,±128,±17,±429,±38,±18,±119,±81,±17,±285,±46,±19,±19,±47,±11,±472,±143,±17,±44
            65 years old and over,±326,±19,±23,±26,±106,±55,±19,±17,±3,±19,±19,±19,±23,±17,±50,±23,±54,±34,±25,±19,±17,±19,±19,±83,±19,±3,±87,±19,±26,±23,±26,±19,±19,±7,±19,±58,±9,±17,±3,±17,±19,±19,±87,±29,±19,±19,±26,±3,±12,±17,±17,±13,±23,±19,±19,±19,±23,±19,±29,±17,±119,±19,±23,±96,±19,±17,±136,±21,±19,±19,±11,±19,±76,±28,±17,±8
        Other languages,±413,±31,±23,±26,±38,±26,±19,±17,±23,±19,±23,±19,±23,±17,±23,±23,±111,±29,±32,±225,±17,±27,±19,±132,±19,±5,±13,±19,±26,±23,±22,±19,±26,±19,±19,±27,±23,±17,±19,±17,±19,±19,±23,±29,±19,±19,±22,±3,±17,±17,±17,±17,±23,±19,±19,±22,±23,±19,±105,±17,±195,±19,±23,±14,±19,±17,±44,±19,±19,±19,±26,±19,±126,±29,±17,±23
            5 to 17 years old,±99,±19,±23,±26,±29,±26,±19,±17,±23,±19,±23,±19,±23,±17,±23,±23,±29,±29,±26,±24,±17,±19,±19,±29,±19,±5,±29,±19,±26,±23,±26,±19,±26,±19,±19,±29,±23,±17,±19,±17,±19,±19,±23,±29,±19,±19,±26,±26,±17,±17,±17,±17,±23,±19,±19,±19,±23,±19,±29,±17,±29,±19,±23,±29,±19,±17,±29,±19,±19,±19,±26,±19,±86,±29,±17,±23
            18 to 64 years old,±354,±31,±23,±26,±38,±26,±19,±17,±23,±19,±23,±19,±23,±17,±23,±23,±111,±29,±27,±203,±17,±14,±19,±132,±19,±19,±13,±19,±26,±23,±22,±19,±26,±19,±19,±27,±23,±17,±19,±17,±19,±19,±23,±29,±19,±19,±22,±26,±17,±17,±17,±17,±23,±19,±19,±22,±23,±19,±105,±17,±194,±19,±23,±29,±19,±17,±34,±19,±19,±19,±26,±19,±48,±29,±17,±23
            65 years old and over,±36,±19,±23,±26,±29,±26,±19,±17,±23,±19,±23,±19,±23,±17,±23,±23,±5,±29,±13,±19,±17,±13,±19,±29,±19,±19,±29,±19,±26,±23,±26,±19,±26,±19,±19,±29,±23,±17,±19,±17,±19,±19,±23,±29,±19,±19,±26,±3,±17,±17,±17,±17,±23,±19,±19,±19,±23,±19,±29,±17,±14,±19,±23,±14,±19,±17,±22,±19,±19,±19,±26,±19,±29,±29,±17,±23
CITIZENS 18 YEARS AND OVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    All citizens 18 years old and over,"±1,222",±48,±33,±82,±461,±72,±93,±18,±200,±44,±46,±31,±24,±6,±78,±26,±207,±205,±46,±19,±7,±70,±19,±194,±9,±55,±151,±8,±75,±116,±93,±87,±114,±9,±30,±141,±200,±47,±16,±17,±58,±21,±89,±199,±44,±23,±101,±135,±48,±32,±17,±17,±10,±19,±12,±42,±58,±37,±208,±2,±545,±75,±70,±226,±171,±17,±560,±150,±12,±9,±85,±48,±601,±125,±17,±162
        Speak only English,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
        Speak a language other than English,"±1,222",±48,±33,±82,±461,±72,±93,±18,±200,±44,±46,±31,±24,±6,±78,±26,±207,±205,±46,±19,±7,±70,±19,±194,±9,±55,±151,±8,±75,±116,±93,±87,±114,±9,±30,±141,±200,±47,±16,±17,±58,±21,±89,±199,±44,±23,±101,±135,±48,±32,±17,±17,±10,±19,±12,±42,±58,±37,±208,±2,±545,±75,±70,±226,±171,±17,±560,±150,±12,±9,±85,±48,±601,±125,±17,±162
            Spanish,"±1,150",±35,±33,±39,±443,±22,±92,±18,±199,±32,±38,±31,±12,±17,±71,±21,±187,±172,±26,±19,±7,±67,±19,±146,±9,±17,±91,±8,±71,±114,±84,±87,±98,±19,±30,±125,±138,±46,±7,±17,±53,±22,±5,±158,±34,±22,±101,±97,±47,±23,±17,±17,±10,±19,±12,±36,±58,±35,±151,±2,±433,±75,±67,±181,±171,±17,±446,±148,±12,±2,±61,±53,±569,±123,±17,±162
            Other languages,±744,±32,±23,±74,±176,±67,±14,±17,±100,±23,±16,±19,±22,±6,±41,±14,±109,±99,±40,±19,±17,±13,±19,±109,±19,±61,±138,±19,±31,±12,±47,±19,±59,±9,±19,±71,±184,±11,±14,±17,±14,±3,±89,±119,±33,±5,±26,±90,±15,±18,±17,±17,±3,±19,±19,±22,±23,±15,±116,±17,±323,±14,±18,±147,±19,±17,±334,±35,±19,±8,±63,±17,±227,±23,±17,±12
